time,x,y,z
1766255373.1692357,0.002114373,0.19287616,-0.58745223
1766255373.1761136,0.0031341352,0.19185084,-0.5880564
1766255373.189421,0.004122949,0.19080934,-0.58864385
1766255373.1955483,0.0050884285,0.18975455,-0.5892158
1766255373.2086887,0.006950111,0.1876071,-0.5903178
1766255373.2187853,0.007846662,0.18651512,-0.5908498
1766255373.229071,0.0087208245,0.18541154,-0.5913998
1766255373.23616,0.009027822,0.18403308,-0.59113336
1766255373.2500212,0.009604486,0.18125571,-0.5906262
1766255373.2572324,0.009880804,0.1798617,-0.5903862
1766255373.2694552,0.01014384,0.17846161,-0.59015644
1766255373.2764704,0.010393259,0.17705594,-0.5899725
1766255373.2895317,0.010850331,0.17422906,-0.5896382
1766255373.2981982,0.011057827,0.17280845,-0.58948916
1766255373.3096364,0.011251439,0.17138363,-0.58935314
1766255373.3169627,0.011431394,0.169955,-0.58923066
1766255373.3300505,0.011597843,0.16852295,-0.58915704
1766255373.3373387,0.011748878,0.16709112,-0.5890969
1766255373.3511887,0.012010964,0.1642195,-0.589018
1766255373.3570554,0.012122362,0.16278048,-0.58900005
1766255373.370257,0.0121148275,0.16004197,-0.58892983
1766255373.3785083,0.012097064,0.15867388,-0.58895355
1766255373.390238,0.012070093,0.1573068,-0.5889933
1766255373.3978465,0.012034344,0.15594141,-0.5890492
1766255373.4106266,0.0119135445,0.15322317,-0.58921003
1766255373.419108,0.011841285,0.15186854,-0.58931476
1766255373.4307659,0.011761403,0.15051718,-0.58947
1766255373.4379857,0.011674098,0.14916928,-0.58964026
1766255373.4509654,0.011477889,0.14648472,-0.5900245
1766255373.4595714,0.011369436,0.14514863,-0.5902382
1766255373.471553,0.011257891,0.1438191,-0.59046656
1766255373.4781,0.011139551,0.14249457,-0.5907444
1766255373.4921873,0.010457246,0.1397937,-0.5922981
1766255373.499406,0.010109887,0.13845123,-0.5930777
1766255373.511552,0.009758405,0.13711399,-0.5938594
1766255373.5185814,0.009402811,0.13578196,-0.59464294
1766255373.5320687,0.008679352,0.1331333,-0.596276
1766255373.5405736,0.0083172405,0.13181941,-0.59709376
1766255373.552213,0.007951117,0.13051066,-0.597912
1766255373.559268,0.007581046,0.12920706,-0.59873056
1766255373.5727727,0.006829364,0.12661575,-0.6003683
1766255373.5803866,0.006447882,0.12532835,-0.60121834
1766255373.5925207,0.006062733,0.12404656,-0.6020676
1766255373.599658,0.0056739924,0.1227705,-0.602916
1766255373.6129355,0.0045907786,0.12056051,-0.60549307
1766255373.6210346,0.0039026425,0.119622916,-0.60720015
1766255373.6318698,0.0032172427,0.11868785,-0.60890853
1766255373.641218,0.0025345269,0.11775556,-0.6105941
1766255373.6540694,0.0018545352,0.116826326,-0.61225694
1766255373.6603415,0.0011773268,0.11590048,-0.6138973
1766255373.6734622,-0.00016876019,0.114060074,-0.61711204
1766255373.6805966,-0.0008301916,0.113147706,-0.61871076
1766255373.6934483,-0.0021453646,0.111336134,-0.6218417
1766255373.7015843,-0.0027989969,0.110437274,-0.623374
1766255373.7131941,-0.0034499275,0.10954322,-0.62488407
1766255373.720967,-0.0040981947,0.10865399,-0.6263718
1766255373.7341163,-0.004743822,0.107769676,-0.62786204
1766255373.740769,-0.005386803,0.106890276,-0.629329
1766255373.7543364,-0.0077858325,0.10588148,-0.63220626
