time,x_est,y_est,z_est,x_sp,y_sp,z_sp
15977.7,-0.233866,-0.0758314,-1.11488,-0.206711,-0.0731254,-1.50212
15977.7,-0.23388,-0.0752464,-1.11274,-0.205275,-0.0726176,-1.51947
15977.7,-0.233891,-0.074957,-1.11171,-0.203809,-0.0720987,-1.5372
15977.7,-0.233905,-0.0746703,-1.11069,-0.20231,-0.0715687,-1.5553
15977.7,-0.233897,-0.074384,-1.10974,-0.200781,-0.0710277,-1.57378
15977.7,-0.233892,-0.0738147,-1.10788,-0.199222,-0.070476,-1.59262
15977.7,-0.233893,-0.0735343,-1.10698,-0.197632,-0.0699137,-1.61183
15977.7,-0.233896,-0.0732558,-1.1061,-0.196013,-0.0693409,-1.6314
15977.7,-0.233902,-0.0729793,-1.10524,-0.194365,-0.0687579,-1.65131
15977.7,-0.233923,-0.0724294,-1.10364,-0.192688,-0.0681648,-1.67157
15977.8,-0.233936,-0.0721587,-1.10286,-0.190984,-0.0675618,-1.69217
15977.8,-0.233971,-0.0718991,-1.10209,-0.189252,-0.0669491,-1.7131
15977.8,-0.233269,-0.0716706,-1.10176,-0.187493,-0.0663269,-1.73435
15977.8,-0.231915,-0.0712215,-1.10113,-0.185708,-0.0656954,-1.75592
15977.8,-0.231261,-0.0709996,-1.10084,-0.183897,-0.0650549,-1.7778
15977.8,-0.230622,-0.0707824,-1.10056,-0.182061,-0.0644055,-1.79999
15977.8,-0.229996,-0.070568,-1.10028,-0.180201,-0.0637474,-1.82246
15977.8,-0.228787,-0.0701471,-1.09973,-0.178317,-0.063081,-1.84523
15977.8,-0.228212,-0.0699462,-1.09949,-0.176411,-0.0624065,-1.86827
15977.8,-0.227651,-0.0697465,-1.09926,-0.174481,-0.061724,-1.89158
15977.9,-0.227101,-0.0695511,-1.09903,-0.172531,-0.0610339,-1.91516
15977.9,-0.226035,-0.0691675,-1.09858,-0.170559,-0.0603364,-1.93898
15977.9,-0.225519,-0.0689791,-1.09836,-0.168567,-0.0596317,-1.96305
15977.9,-0.225014,-0.068793,-1.09814,-0.166556,-0.0589202,-1.98736
15977.9,-0.224519,-0.068609,-1.09796,-0.164525,-0.058202,-2.01189
15977.9,-0.224519,-0.0685696,-1.09819,-0.162477,-0.0574776,-2.03664
15977.9,-0.224512,-0.0685592,-1.0983,-0.160412,-0.056747,-2.06159
15977.9,-0.224504,-0.0685475,-1.0984,-0.158331,-0.0560107,-2.08674
15977.9,-0.224495,-0.0685347,-1.0985,-0.156234,-0.0552688,-2.11208
15977.9,-0.224475,-0.0685055,-1.09873,-0.154122,-0.0545218,-2.1376
15978,-0.224464,-0.0684892,-1.09884,-0.151996,-0.0537698,-2.16329
15978,-0.224456,-0.0684719,-1.09894,-0.149858,-0.0530132,-2.18913
15978,-0.224435,-0.0684382,-1.09904,-0.147707,-0.0522523,-2.21512
15978,-0.224391,-0.0683716,-1.09925,-0.145544,-0.0514873,-2.24125
15978,-0.224369,-0.0683369,-1.09937,-0.143371,-0.0507186,-2.26751
15978,-0.224346,-0.0683011,-1.09947,-0.141189,-0.0499465,-2.29389
15978,-0.224344,-0.0682778,-1.09949,-0.138997,-0.0491712,-2.32037
15978,-0.223743,-0.0676828,-1.09908,-0.136798,-0.0483932,-2.34695
15978,-0.223449,-0.0673835,-1.09895,-0.134591,-0.0476126,-2.37361
15978,-0.223174,-0.0670805,-1.09883,-0.132378,-0.0468298,-2.40035
15978.1,-0.222904,-0.0667981,-1.09869,-0.13016,-0.0460451,-2.42715
15978.1,-0.222378,-0.0662134,-1.09845,-0.127938,-0.0452589,-2.45401
15978.1,-0.222135,-0.0659149,-1.09833,-0.125712,-0.0444713,-2.48091
15978.1,-0.221887,-0.0656365,-1.09821,-0.123483,-0.0436829,-2.50784
15978.1,-0.221643,-0.0653644,-1.09812,-0.121252,-0.0428938,-2.5348
15978.1,-0.221406,-0.0650951,-1.09803,-0.119021,-0.0421044,-2.56176
15978.1,-0.220959,-0.0645678,-1.09785,-0.116789,-0.041315,-2.58873
15978.1,-0.220749,-0.0643097,-1.09776,-0.114559,-0.0405259,-2.61568
15978.1,-0.220545,-0.0640531,-1.09767,-0.11233,-0.0397374,-2.64262
15978.1,-0.219885,-0.063273,-1.09813,-0.110104,-0.0389499,-2.66952
15978.2,-0.219432,-0.0627553,-1.09863,-0.107881,-0.0381637,-2.69637
15978.2,-0.218996,-0.062241,-1.09912,-0.105663,-0.037379,-2.72318
15978.2,-0.218569,-0.0617338,-1.0996,-0.10345,-0.0365962,-2.74992
15978.2,-0.217762,-0.0607357,-1.10054,-0.101244,-0.0358156,-2.77658
15978.2,-0.21737,-0.0602459,-1.10101,-0.0990441,-0.0350376,-2.80316
15978.2,-0.216988,-0.0597594,-1.10146,-0.0968526,-0.0342623,-2.82964
15978.2,-0.216613,-0.0592792,-1.1019,-0.09467,-0.0334902,-2.85602
15978.2,-0.215888,-0.0583311,-1.10275,-0.092497,-0.0327215,-2.88227
15978.2,-0.215537,-0.057863,-1.10318,-0.0903346,-0.0319565,-2.9084
15978.2,-0.215193,-0.0574004,-1.1036,-0.0881836,-0.0311956,-2.9344
15978.3,-0.214856,-0.056942,-1.10401,-0.0860448,-0.030439,-2.96024
15978.3,-0.214249,-0.0560565,-1.1048,-0.0839192,-0.029687,-2.98593
15978.3,-0.213988,-0.0557911,-1.10463,-0.0818074,-0.02894,-3.01145
15978.3,-0.213733,-0.0555293,-1.10445,-0.0797104,-0.0281981,-3.03679
15978.3,-0.213486,-0.055267,-1.10431,-0.0776289,-0.0274618,-3.06194
15978.3,-0.21301,-0.0547495,-1.10404,-0.0755638,-0.0267312,-3.08689
15978.3,-0.212783,-0.0544916,-1.10391,-0.0735159,-0.0260068,-3.11164
15978.3,-0.212561,-0.0542372,-1.10378,-0.0714858,-0.0252886,-3.13617
15978.3,-0.21236,-0.0539978,-1.10365,-0.0694744,-0.0245771,-3.16048
15978.3,-0.211973,-0.0535261,-1.10346,-0.0674825,-0.0238724,-3.18455
15978.4,-0.21179,-0.0532911,-1.10337,-0.0655108,-0.0231749,-3.20837
15978.4,-0.211611,-0.0530597,-1.10328,-0.0635599,-0.0224848,-3.23195
15978.4,-0.211438,-0.052829,-1.10319,-0.0616308,-0.0218023,-3.25526
15978.4,-0.211108,-0.0523715,-1.10304,-0.0597239,-0.0211278,-3.2783
15978.4,-0.210185,-0.0523611,-1.10396,-0.0578401,-0.0204614,-3.30106
15978.4,-0.209298,-0.0523461,-1.10486,-0.05598,-0.0198033,-3.32354
15978.4,-0.208429,-0.0523299,-1.10573,-0.0541443,-0.0191539,-3.34572
15978.4,-0.206755,-0.0522856,-1.10742,-0.0523336,-0.0185134,-3.36761
15978.4,-0.205945,-0.0522604,-1.10825,-0.0505485,-0.0178819,-3.38918
15978.5,-0.205155,-0.0522325,-1.10906,-0.0487897,-0.0172597,-3.41043
15978.5,-0.204383,-0.0521996,-1.10985,-0.0470577,-0.016647,-3.43136
15978.5,-0.202889,-0.0521294,-1.11137,-0.0453531,-0.016044,-3.45196
15978.5,-0.202171,-0.0520884,-1.1121,-0.0436765,-0.0154509,-3.47222
15978.5,-0.20147,-0.0520428,-1.11282,-0.0420284,-0.0148678,-3.49213
15978.5,-0.200783,-0.0519962,-1.11354,-0.0404093,-0.0142951,-3.5117
15978.5,-0.199453,-0.0518973,-1.11492,-0.0388198,-0.0137328,-3.53091
